Time,Date Updated,Song name,Song rank,Artist,Link of song,Views (Real),Shares (Real)
07/02/2026 21:46:15,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,https://www.nhaccuatui.com/song/JNc4jgCgMcHq,32328,493
07/02/2026 21:46:15,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,https://www.nhaccuatui.com/song/4TTDL1BIR4XN,359427,0
07/02/2026 21:46:15,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,https://www.nhaccuatui.com/song/1jdbAwutJSg9,19918,611
07/02/2026 21:46:15,02/02/2026,một đời,42,14 Casper,https://www.nhaccuatui.com/song/ESFq1iGH8zTQ,186949,4588
07/02/2026 21:46:15,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,https://www.nhaccuatui.com/song/jyzUEf5T3rMu,552689,5130
07/02/2026 21:46:15,02/02/2026,Panorama,44,Richie D. ICY,https://www.nhaccuatui.com/song/SMJcVKFXYwbM,36834,614
07/02/2026 21:46:15,02/02/2026,Wrong Times,45,Puppy,https://www.nhaccuatui.com/song/0lTwDzgDWI2q,187031,3683
07/02/2026 21:46:15,02/02/2026,Exit Sign,46,HIEUTHUHAI,https://www.nhaccuatui.com/song/u004JyzIoGWx,197438,4425
07/02/2026 21:46:15,02/02/2026,Em,47,Binz,https://www.nhaccuatui.com/song/9gfD7AsrzcYv,46343,1034
07/02/2026 21:46:15,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV,101596,2260
07/02/2026 21:46:15,02/02/2026,Thu Đợi,49,Wren Evans,https://www.nhaccuatui.com/song/UzRRKDMJ4PIV,21171,326
07/02/2026 21:46:15,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,https://www.nhaccuatui.com/song/fuwWtPb4h3B2,627100,5975
